  0.0000000000    219.3550000000
  0.2000000000    10.0000000000    199    199
  0.1130207039    0.1130207039    0.1130207039    0.1131317262    0.1130207039
  0.1130207039    0.1131317262    0.1129096816    0.1129096816    0.1133537708
  0.1132427485    0.1134647931    0.1131317262    0.1132427485    0.1131317262
  0.1132427485    0.1131317262    0.1132427485    0.1132427485    0.1134647931
  0.1131317262    0.1133537708    0.1135758154    0.1134647931    0.1134647931
  0.1134647931    0.1134647931    0.1135758154    0.1137978600    0.1137978600
  0.1135758154    0.1137978600    0.1139088823    0.1139088823    0.1139088823
  0.1137978600    0.1141309269    0.1140199046    0.1139088823    0.1141309269
  0.1142419492    0.1143529715    0.1141309269    0.1143529715    0.1144639938
  0.1142419492    0.1142419492    0.1142419492    0.1142419492    0.1142419492
  0.1142419492    0.1142419492    0.1142419492    0.1142419492    0.1142419492
  0.1142419492    0.1142419492    0.1142419492    0.1142419492    0.1142419492
  0.1142419492    0.1142419492    0.1142419492    0.1142419492    0.1142419492
  0.1142419492    0.1142419492    0.1142419492    0.1142419492    0.1142419492
  0.1142419492    0.1142419492    0.1142419492    0.1142419492    0.1142419492
  0.1142419492    0.1142419492    0.1142419492    0.1142419492    0.1142419492
  0.1142419492    0.1142419492    0.1142419492    0.1142419492    0.1142419492
  0.1142419492    0.1142419492    0.1142419492    0.1142419492    0.1142419492
  0.1142419492    0.1142419492    0.1142419492    0.1142419492    0.1142419492
  0.1142419492    0.1142419492    0.1142419492    0.1142419492    0.1142419492
  0.1142419492    0.1142419492    0.1142419492    0.1142419492    0.1142419492
  0.1142419492    0.1142419492    0.1142419492    0.1142419492    0.1142419492
  0.1142419492    0.1142419492    0.1142419492    0.1142419492    0.1142419492
  0.1142419492    0.1142419492    0.1142419492    0.1142419492    0.1142419492
  0.1142419492    0.1142419492    0.1142419492    0.1142419492    0.1142419492
  0.1142419492    0.1142419492    0.1142419492    0.1142419492    0.1142419492
  0.1142419492    0.1142419492    0.1142419492    0.1142419492    0.1142419492
  0.1142419492    0.1142419492    0.1142419492    0.1142419492    0.1142419492
  0.1142419492    0.1142419492    0.1142419492    0.1142419492    0.1142419492
  0.1142419492    0.1142419492    0.1142419492    0.1142419492    0.1142419492
  0.1142419492    0.1142419492    0.1142419492    0.1142419492    0.1142419492
  0.1142419492    0.1142419492    0.1142419492    0.1142419492    0.1142419492
  0.1142419492    0.1142419492    0.1142419492    0.1142419492    0.1142419492
  0.1142419492    0.1142419492    0.1142419492    0.1142419492    0.1142419492
  0.1142419492    0.1142419492    0.1142419492    0.1142419492    0.1142419492
  0.1142419492    0.1142419492    0.1142419492    0.1142419492    0.1142419492
  0.1142419492    0.1142419492    0.1142419492    0.1142419492    0.1142419492
  0.1142419492    0.1142419492    0.1142419492    0.1142419492    0.1142419492
  0.1142419492    0.1142419492    0.1142419492    0.1142419492    0.1142419492
  0.1142419492    0.1142419492    0.1142419492    0.1142419492    0.1142419492
  0.1156852392    0.1155742169    0.1156852392    0.1153521723    0.1157962615
  0.1156852392    0.1155742169    0.1157962615    0.1155742169    0.1154631946
  0.1156852392    0.1156852392    0.1157962615    0.1157962615    0.1160183061
  0.1157962615    0.1159072838    0.1157962615    0.1159072838    0.1159072838
  0.1159072838    0.1159072838    0.1157962615    0.1160183061    0.1160183061
  0.1161293284    0.1160183061    0.1160183061    0.1161293284    0.1160183061
  0.1161293284    0.1161293284    0.1162403507    0.1163513730    0.1163513730
  0.1164623953    0.1163513730    0.1165734176    0.1164623953    0.1165734176
  0.1164623953    0.1167954622    0.1167954622    0.1170175068    0.1167954622
  0.1167954622    0.1167954622    0.1167954622    0.1167954622    0.1167954622
  0.1167954622    0.1167954622    0.1167954622    0.1167954622    0.1167954622
  0.1167954622    0.1167954622    0.1167954622    0.1167954622    0.1167954622
  0.1167954622    0.1167954622    0.1167954622    0.1167954622    0.1167954622
  0.1167954622    0.1167954622    0.1167954622    0.1167954622    0.1167954622
  0.1167954622    0.1167954622    0.1167954622    0.1167954622    0.1167954622
  0.1167954622    0.1167954622    0.1167954622    0.1167954622    0.1167954622
  0.1167954622    0.1167954622    0.1167954622    0.1167954622    0.1167954622
  0.1167954622    0.1167954622    0.1167954622    0.1167954622    0.1167954622
  0.1167954622    0.1167954622    0.1167954622    0.1167954622    0.1167954622
  0.1167954622    0.1167954622    0.1167954622    0.1167954622    0.1167954622
  0.1167954622    0.1167954622    0.1167954622    0.1167954622    0.1167954622
  0.1167954622    0.1167954622    0.1167954622    0.1167954622    0.1167954622
  0.1167954622    0.1167954622    0.1167954622    0.1167954622    0.1167954622
  0.1167954622    0.1167954622    0.1167954622    0.1167954622    0.1167954622
  0.1167954622    0.1167954622    0.1167954622    0.1167954622    0.1167954622
  0.1167954622    0.1167954622    0.1167954622    0.1167954622    0.1167954622
  0.1167954622    0.1167954622    0.1167954622    0.1167954622    0.1167954622
  0.1167954622    0.1167954622    0.1167954622    0.1167954622    0.1167954622
  0.1167954622    0.1167954622    0.1167954622    0.1167954622    0.1167954622
  0.1167954622    0.1167954622    0.1167954622    0.1167954622    0.1167954622
  0.1167954622    0.1167954622    0.1167954622    0.1167954622    0.1167954622
  0.1167954622    0.1167954622    0.1167954622    0.1167954622    0.1167954622
  0.1167954622    0.1167954622    0.1167954622    0.1167954622    0.1167954622
  0.1167954622    0.1167954622    0.1167954622    0.1167954622    0.1167954622
  0.1167954622    0.1167954622    0.1167954622    0.1167954622    0.1167954622
  0.1167954622    0.1167954622    0.1167954622    0.1167954622    0.1167954622
  0.1167954622    0.1167954622    0.1167954622    0.1167954622    0.1167954622
  0.1167954622    0.1167954622    0.1167954622    0.1167954622    0.1167954622
  0.1167954622    0.1167954622    0.1167954622    0.1167954622    0.1167954622
  0.1167954622    0.1167954622    0.1167954622    0.1167954622    0.1167954622
  0.1181277298    0.1181277298    0.1182387521    0.1181277298    0.1180167075
  0.1181277298    0.1181277298    0.1182387521    0.1182387521    0.1179056852
  0.1180167075    0.1182387521    0.1181277298    0.1180167075    0.1181277298
  0.1181277298    0.1183497744    0.1182387521    0.1182387521    0.1182387521
  0.1184607967    0.1183497744    0.1184607967    0.1186828413    0.1183497744
  0.1184607967    0.1185718190    0.1184607967    0.1183497744    0.1186828413
  0.1185718190    0.1185718190    0.1186828413    0.1189048859    0.1186828413
  0.1190159082    0.1190159082    0.1189048859    0.1189048859    0.1192379528
  0.1190159082    0.1191269305    0.1193489751    0.1192379528    0.1193489751
  0.1192379528    0.1191269305    0.1194599974    0.1194599974    0.1194599974
  0.1194599974    0.1194599974    0.1194599974    0.1194599974    0.1194599974
  0.1194599974    0.1194599974    0.1194599974    0.1194599974    0.1194599974
  0.1194599974    0.1194599974    0.1194599974    0.1194599974    0.1194599974
  0.1194599974    0.1194599974    0.1194599974    0.1194599974    0.1194599974
  0.1194599974    0.1194599974    0.1194599974    0.1194599974    0.1194599974
  0.1194599974    0.1194599974    0.1194599974    0.1194599974    0.1194599974
  0.1194599974    0.1194599974    0.1194599974    0.1194599974    0.1194599974
  0.1194599974    0.1194599974    0.1194599974    0.1194599974    0.1194599974
  0.1194599974    0.1194599974    0.1194599974    0.1194599974    0.1194599974
  0.1194599974    0.1194599974    0.1194599974    0.1194599974    0.1194599974
  0.1194599974    0.1194599974    0.1194599974    0.1194599974    0.1194599974
  0.1194599974    0.1194599974    0.1194599974    0.1194599974    0.1194599974
  0.1194599974    0.1194599974    0.1194599974    0.1194599974    0.1194599974
  0.1194599974    0.1194599974    0.1194599974    0.1194599974    0.1194599974
  0.1194599974    0.1194599974    0.1194599974    0.1194599974    0.1194599974
  0.1194599974    0.1194599974    0.1194599974    0.1194599974    0.1194599974
  0.1194599974    0.1194599974    0.1194599974    0.1194599974    0.1194599974
  0.1194599974    0.1194599974    0.1194599974    0.1194599974    0.1194599974
  0.1194599974    0.1194599974    0.1194599974    0.1194599974    0.1194599974
  0.1194599974    0.1194599974    0.1194599974    0.1194599974    0.1194599974
  0.1194599974    0.1194599974    0.1194599974    0.1194599974    0.1194599974
  0.1194599974    0.1194599974    0.1194599974    0.1194599974    0.1194599974
  0.1194599974    0.1194599974    0.1194599974    0.1194599974    0.1194599974
  0.1194599974    0.1194599974    0.1194599974    0.1194599974    0.1194599974
  0.1194599974    0.1194599974    0.1194599974    0.1194599974    0.1194599974
  0.1194599974    0.1194599974    0.1194599974    0.1194599974    0.1194599974
  0.1194599974    0.1194599974    0.1194599974    0.1194599974    0.1194599974
  0.1194599974    0.1194599974    0.1194599974    0.1194599974    0.1194599974
  0.1194599974    0.1194599974    0.1194599974    0.1194599974    0.1194599974
  0.1194599974    0.1194599974    0.1194599974    0.1194599974    0.1194599974
  0.1205702205    0.1204591982    0.1204591982    0.1205702205    0.1204591982
  0.1205702205    0.1206812428    0.1204591982    0.1204591982    0.1205702205
  0.1204591982    0.1206812428    0.1207922651    0.1205702205    0.1206812428
  0.1207922651    0.1204591982    0.1206812428    0.1204591982    0.1205702205
  0.1206812428    0.1206812428    0.1209032874    0.1209032874    0.1209032874
  0.1210143097    0.1209032874    0.1209032874    0.1209032874    0.1211253320
  0.1209032874    0.1211253320    0.1211253320    0.1212363543    0.1212363543
  0.1211253320    0.1212363543    0.1214583989    0.1213473766    0.1213473766
  0.1214583989    0.1215694212    0.1214583989    0.1216804435    0.1214583989
  0.1220135104    0.1217914658    0.1219024881    0.1217914658    0.1217914658
  0.1217914658    0.1217914658    0.1217914658    0.1217914658    0.1217914658
  0.1217914658    0.1217914658    0.1217914658    0.1217914658    0.1217914658
  0.1217914658    0.1217914658    0.1217914658    0.1217914658    0.1217914658
  0.1217914658    0.1217914658    0.1217914658    0.1217914658    0.1217914658
  0.1217914658    0.1217914658    0.1217914658    0.1217914658    0.1217914658
  0.1217914658    0.1217914658    0.1217914658    0.1217914658    0.1217914658
  0.1217914658    0.1217914658    0.1217914658    0.1217914658    0.1217914658
  0.1217914658    0.1217914658    0.1217914658    0.1217914658    0.1217914658
  0.1217914658    0.1217914658    0.1217914658    0.1217914658    0.1217914658
  0.1217914658    0.1217914658    0.1217914658    0.1217914658    0.1217914658
  0.1217914658    0.1217914658    0.1217914658    0.1217914658    0.1217914658
  0.1217914658    0.1217914658    0.1217914658    0.1217914658    0.1217914658
  0.1217914658    0.1217914658    0.1217914658    0.1217914658    0.1217914658
  0.1217914658    0.1217914658    0.1217914658    0.1217914658    0.1217914658
  0.1217914658    0.1217914658    0.1217914658    0.1217914658    0.1217914658
  0.1217914658    0.1217914658    0.1217914658    0.1217914658    0.1217914658
  0.1217914658    0.1217914658    0.1217914658    0.1217914658    0.1217914658
  0.1217914658    0.1217914658    0.1217914658    0.1217914658    0.1217914658
  0.1217914658    0.1217914658    0.1217914658    0.1217914658    0.1217914658
  0.1217914658    0.1217914658    0.1217914658    0.1217914658    0.1217914658
  0.1217914658    0.1217914658    0.1217914658    0.1217914658    0.1217914658
  0.1217914658    0.1217914658    0.1217914658    0.1217914658    0.1217914658
  0.1217914658    0.1217914658    0.1217914658    0.1217914658    0.1217914658
  0.1217914658    0.1217914658    0.1217914658    0.1217914658    0.1217914658
  0.1217914658    0.1217914658    0.1217914658    0.1217914658    0.1217914658
  0.1217914658    0.1217914658    0.1217914658    0.1217914658    0.1217914658
  0.1217914658    0.1217914658    0.1217914658    0.1217914658    0.1217914658
  0.1217914658    0.1217914658    0.1217914658    0.1217914658    0.1217914658
  0.1217914658    0.1217914658    0.1217914658    0.1217914658    0.1217914658
  0.1217914658    0.1217914658    0.1217914658    0.1217914658    0.1217914658
  0.1230127111    0.1229016888    0.1231237334    0.1229016888    0.1231237334
  0.1227906665    0.1230127111    0.1229016888    0.1230127111    0.1227906665
  0.1231237334    0.1229016888    0.1229016888    0.1230127111    0.1230127111
  0.1232347557    0.1229016888    0.1231237334    0.1231237334    0.1232347557
  0.1230127111    0.1232347557    0.1231237334    0.1231237334    0.1231237334
  0.1232347557    0.1231237334    0.1231237334    0.1233457780    0.1234568003
  0.1234568003    0.1232347557    0.1234568003    0.1236788449    0.1236788449
  0.1236788449    0.1234568003    0.1235678226    0.1237898672    0.1237898672
  0.1237898672    0.1240119119    0.1237898672    0.1239008895    0.1240119119
  0.1241229342    0.1240119119    0.1242339565    0.1240119119    0.1241229342
  0.1241229342    0.1241229342    0.1241229342    0.1241229342    0.1241229342
  0.1241229342    0.1241229342    0.1241229342    0.1241229342    0.1241229342
  0.1241229342    0.1241229342    0.1241229342    0.1241229342    0.1241229342
  0.1241229342    0.1241229342    0.1241229342    0.1241229342    0.1241229342
  0.1241229342    0.1241229342    0.1241229342    0.1241229342    0.1241229342
  0.1241229342    0.1241229342    0.1241229342    0.1241229342    0.1241229342
  0.1241229342    0.1241229342    0.1241229342    0.1241229342    0.1241229342
  0.1241229342    0.1241229342    0.1241229342    0.1241229342    0.1241229342
  0.1241229342    0.1241229342    0.1241229342    0.1241229342    0.1241229342
  0.1241229342    0.1241229342    0.1241229342    0.1241229342    0.1241229342
  0.1241229342    0.1241229342    0.1241229342    0.1241229342    0.1241229342
  0.1241229342    0.1241229342    0.1241229342    0.1241229342    0.1241229342
  0.1241229342    0.1241229342    0.1241229342    0.1241229342    0.1241229342
  0.1241229342    0.1241229342    0.1241229342    0.1241229342    0.1241229342
  0.1241229342    0.1241229342    0.1241229342    0.1241229342    0.1241229342
  0.1241229342    0.1241229342    0.1241229342    0.1241229342    0.1241229342
  0.1241229342    0.1241229342    0.1241229342    0.1241229342    0.1241229342
  0.1241229342    0.1241229342    0.1241229342    0.1241229342    0.1241229342
  0.1241229342    0.1241229342    0.1241229342    0.1241229342    0.1241229342
  0.1241229342    0.1241229342    0.1241229342    0.1241229342    0.1241229342
  0.1241229342    0.1241229342    0.1241229342    0.1241229342    0.1241229342
  0.1241229342    0.1241229342    0.1241229342    0.1241229342    0.1241229342
  0.1241229342    0.1241229342    0.1241229342    0.1241229342    0.1241229342
  0.1241229342    0.1241229342    0.1241229342    0.1241229342    0.1241229342
  0.1241229342    0.1241229342    0.1241229342    0.1241229342    0.1241229342
  0.1241229342    0.1241229342    0.1241229342    0.1241229342    0.1241229342
  0.1241229342    0.1241229342    0.1241229342    0.1241229342    0.1241229342
  0.1241229342    0.1241229342    0.1241229342    0.1241229342    0.1241229342
  0.1241229342    0.1241229342    0.1241229342    0.1241229342    0.1241229342
  0.1241229342    0.1241229342    0.1241229342    0.1241229342    0.1241229342
  0.1252331572    0.1253441795    0.1252331572    0.1251221349    0.1253441795
  0.1250111126    0.1253441795    0.1251221349    0.1252331572    0.1251221349
  0.1253441795    0.1254552018    0.1252331572    0.1253441795    0.1253441795
  0.1253441795    0.1252331572    0.1253441795    0.1253441795    0.1253441795
  0.1254552018    0.1254552018    0.1253441795    0.1256772464    0.1255662241
  0.1257882687    0.1256772464    0.1255662241    0.1256772464    0.1256772464
  0.1257882687    0.1257882687    0.1256772464    0.1256772464    0.1257882687
  0.1256772464    0.1258992910    0.1260103133    0.1260103133    0.1261213356
  0.1261213356    0.1263433802    0.1262323579    0.1261213356    0.1262323579
  0.1263433802    0.1263433802    0.1263433802    0.1266764471    0.1263433802
  0.1263433802    0.1263433802    0.1263433802    0.1263433802    0.1263433802
  0.1263433802    0.1263433802    0.1263433802    0.1263433802    0.1263433802
  0.1263433802    0.1263433802    0.1263433802    0.1263433802    0.1263433802
  0.1263433802    0.1263433802    0.1263433802    0.1263433802    0.1263433802
  0.1263433802    0.1263433802    0.1263433802    0.1263433802    0.1263433802
  0.1263433802    0.1263433802    0.1263433802    0.1263433802    0.1263433802
  0.1263433802    0.1263433802    0.1263433802    0.1263433802    0.1263433802
  0.1263433802    0.1263433802    0.1263433802    0.1263433802    0.1263433802
  0.1263433802    0.1263433802    0.1263433802    0.1263433802    0.1263433802
  0.1263433802    0.1263433802    0.1263433802    0.1263433802    0.1263433802
  0.1263433802    0.1263433802    0.1263433802    0.1263433802    0.1263433802
  0.1263433802    0.1263433802    0.1263433802    0.1263433802    0.1263433802
  0.1263433802    0.1263433802    0.1263433802    0.1263433802    0.1263433802
  0.1263433802    0.1263433802    0.1263433802    0.1263433802    0.1263433802
  0.1263433802    0.1263433802    0.1263433802    0.1263433802    0.1263433802
  0.1263433802    0.1263433802    0.1263433802    0.1263433802    0.1263433802
  0.1263433802    0.1263433802    0.1263433802    0.1263433802    0.1263433802
  0.1263433802    0.1263433802    0.1263433802    0.1263433802    0.1263433802
  0.1263433802    0.1263433802    0.1263433802    0.1263433802    0.1263433802
  0.1263433802    0.1263433802    0.1263433802    0.1263433802    0.1263433802
  0.1263433802    0.1263433802    0.1263433802    0.1263433802    0.1263433802
  0.1263433802    0.1263433802    0.1263433802    0.1263433802    0.1263433802
  0.1263433802    0.1263433802    0.1263433802    0.1263433802    0.1263433802
