  0.0000000000    0.4550000000
  0.0100000000    0.1000000000    349    199
  0.0033751214    0.0033942033    0.0034510155    0.0035451243    0.0036771801
  0.0038453398    0.0040494951    0.0042886701    0.0045611301    0.0048667667
  0.0052040620    0.0055718234    0.0059699424    0.0063978770    0.0068555188
  0.0073439518    0.0078633931    0.0084155231    0.0090019138    0.0096251674
  0.0102878860    0.0109930511    0.0117461921    0.0125502365    0.0134088704
  0.0143196002    0.0152652413    0.0161986852    0.0170510307    0.0172535055
  0.0172538307    0.0172538307    0.0172538307    0.0172538307    0.0172538307
  0.0172538307    0.0172538307    0.0172538307    0.0172538307    0.0172538307
  0.0172538307    0.0172538307    0.0172538307    0.0172538307    0.0172538307
  0.0172538307    0.0172538307    0.0172538307    0.0172538307    0.0172538307
  0.0172538307    0.0172538307    0.0172538307    0.0172538307    0.0172538307
  0.0172538307    0.0172538307    0.0172538307    0.0172538307    0.0172538307
  0.0172538307    0.0172538307    0.0172538307    0.0172538307    0.0172538307
  0.0172538307    0.0172538307    0.0172538307    0.0172538307    0.0172538307
  0.0172538307    0.0172538307    0.0172538307    0.0172538307    0.0172538307
  0.0172538307    0.0172538307    0.0172538307    0.0172538307    0.0172538307
  0.0172538307    0.0172538307    0.0172538307    0.0172538307    0.0172538307
  0.0172538307    0.0172538307    0.0172538307    0.0172538307    0.0172538307
  0.0172538307    0.0172538307    0.0172538307    0.0172538307    0.0172538307
  0.0172538307    0.0172538307    0.0172538307    0.0172538307    0.0172538307
  0.0172538307    0.0172538307    0.0172538307    0.0172538307    0.0172538307
  0.0172538307    0.0172538307    0.0172538307    0.0172538307    0.0172538307
  0.0172538307    0.0172538307    0.0172538307    0.0172538307    0.0172538307
  0.0172538307    0.0172538307    0.0172538307    0.0172538307    0.0172538307
  0.0172538307    0.0172538307    0.0172538307    0.0172538307    0.0172538307
  0.0172538307    0.0172538307    0.0172538307    0.0172538307    0.0172538307
  0.0172538307    0.0172538307    0.0172538307    0.0172538307    0.0172538307
  0.0172538307    0.0172538307    0.0172538307    0.0172538307    0.0172538307
