#  Log[10,T [fm^-1]]	Log[10,E [fm^-4]]	Log[10,dE [fm^-4]]	Log[10,P [fm^-4]]	Log[10,dP [fm^-4]]
1001
-4.71	-107.41953065334516	-101.2430848618532	-108.85698433367419	-102.69395241906169
-4.697	-107.05057406745931	-100.88712827596736	-108.48802774778835	-102.33799583317584
-4.684	-106.68161748157347	-100.53117169008152	-108.11907116190251	-101.98203924729
-4.671	-106.31266089568764	-100.1752151041957	-107.75011457601668	-101.62608266140415
-4.658	-105.94370430980179	-99.81925851830985	-107.38115799013083	-101.27012607551832
-4.645	-105.57474772391595	-99.463301932424	-107.012201404245	-100.91416948963251
-4.632	-105.2057911380301	-99.10734534653812	-106.64324481835915	-100.55821290374664
-4.619	-104.83683455214424	-98.7513887606523	-106.2742882324733	-100.20225631786079
-4.606	-104.46787796625841	-98.39543217476647	-105.90533164658747	-99.84629973197495
-4.593	-104.09892138037257	-98.03947558888062	-105.53637506070163	-99.49034314608909
-4.58	-103.72996479448673	-97.68351900299479	-105.16741847481578	-99.13438656020325
-4.567	-103.36100820860088	-97.32756241710895	-104.79846188892994	-98.77842997431742
-4.554	-102.99205162271505	-96.97160583122312	-104.4295053030441	-98.42247338843157
-4.541	-102.62309503682921	-96.61564924533727	-104.06054871715824	-98.06651680254573
-4.528	-102.25413845094337	-96.2596926594514	-103.69159213127243	-97.71056021665993
-4.515	-101.88518186505752	-95.90373607356555	-103.32263554538658	-97.35460363077408
-4.502	-101.51622527917168	-95.54777948767973	-102.95367895950073	-96.99864704488823
-4.489	-101.14726869328582	-95.1918229017939	-102.5847223736149	-96.64269045900235
-4.476	-100.77831210740001	-94.83586631590806	-102.21576578772907	-96.28673387311653
-4.463	-100.40935552151414	-94.4799097300222	-101.8468092018432	-95.93077728723067
-4.45	-100.04039893562832	-94.12395314413637	-101.47785261595736	-95.57482070134483
-4.437	-99.67144234974246	-93.76799655825052	-101.1088960300715	-95.21886411545897
-4.424	-99.30248576385662	-93.41203997236467	-100.73993944418565	-94.86290752957316
-4.411	-98.93352917797077	-93.05608338647883	-100.37098285829983	-94.50695094368733
-4.398	-98.56457259208496	-92.70012680059303	-100.00202627241401	-94.15099435780151
-4.385	-98.19561600619912	-92.34417021470716	-99.63306968652819	-93.79503777191567
-4.372	-97.82665942031326	-91.98821362882131	-99.26411310064233	-93.43908118602981
-4.359	-97.45770283442741	-91.63225704293546	-98.89515651475647	-93.08312460014393
-4.346	-97.08874624854157	-91.27630045704963	-98.52619992887061	-92.7271680142581
-4.333	-96.71978966265573	-90.92034387116378	-98.15724334298477	-92.37121142837223
-4.32	-96.3508330767699	-90.56438728527795	-97.78828675709892	-92.0152548424864
-4.307	-95.98187649088405	-90.2084306993921	-97.41933017121309	-91.65929825660061
-4.294	-95.6129199049982	-89.85247411350626	-97.05037358532725	-91.30334167071476
-4.281	-95.24396331911237	-89.49651752762044	-96.68141699944145	-90.94738508482894
-4.268	-94.87500673322654	-89.14056094173458	-96.3124604135556	-90.59142849894306
-4.255	-94.50605014734067	-88.78460435584871	-95.94350382766972	-90.2354719130572
-4.242	-94.13709356145485	-88.4286477699629	-95.57454724178388	-89.87951532717136
-4.229	-93.76813697556898	-88.07269118407704	-95.20559065589802	-89.52355874128553
-4.216	-93.39918038968315	-87.71673459819121	-94.8366340700122	-89.16760215539968
-4.203	-93.03022380379731	-87.36077801230535	-94.46767748412636	-88.81164556951383
-4.19	-92.66126721791144	-87.00482142641951	-94.0987208982405	-88.45568898362802
-4.177	-92.29231063202563	-86.6488648405337	-93.7297643123547	-88.09973239774222
-4.164	-91.92335404613979	-86.29290825464786	-93.36080772646886	-87.74377581185632
-4.151	-91.55439746025395	-85.93695166876198	-92.991851140583	-87.38781922597047
-4.138	-91.18544087436808	-85.58099508287613	-92.62289455469714	-87.03186264008461
-4.125	-90.81648428848226	-85.22503849699031	-92.2539379688113	-86.67590605419878
-4.112	-90.4475277025964	-84.86908191110446	-91.88498138292546	-86.31994946831293
-4.099	-90.07857111671056	-84.51312532521864	-91.5160247970396	-85.96399288242709
-4.086	-89.70961453082474	-84.15716873933279	-91.14706821115378	-85.60803629654124
-4.073	-89.34065794493888	-83.80121215344695	-90.77811162526793	-85.25207971065544
-4.06	-88.97170135905306	-83.44525556756112	-90.40915503938211	-84.89612312476963
-4.047	-88.60274477316722	-83.08929898167524	-90.04019845349627	-84.54016653888374
-4.034	-88.23378818728135	-82.73334239578939	-89.67124186761039	-84.18420995299788
-4.021	-87.86483160139551	-82.37738580990356	-89.30228528172455	-83.82825336711204
-4.008	-87.49587501550967	-82.02142922401774	-88.93332869583872	-83.47229678122619
-3.995	-87.12691842962384	-81.66547263813189	-88.56437210995288	-83.11634019534036
-3.982	-86.75796184373799	-81.30951605224605	-88.19541552406704	-82.76038360945454
-3.969	-86.38900525785215	-80.9535594663602	-87.8264589381812	-82.4044270235687
-3.956	-86.02004867196631	-80.59760288047434	-87.45750235229538	-82.04847043768285
-3.943	-85.65109208608044	-80.24164629458849	-87.08854576640951	-81.69251385179699
-3.93	-85.28213550019461	-79.88568970870267	-86.71958918052367	-81.33655726591114
-3.917	-84.91317891430879	-79.52973312281684	-86.35063259463783	-80.98060068002532
-3.904	-84.54422232842293	-79.17377653693099	-85.98167600875198	-80.62464409413946
-3.891	-84.17526574253709	-78.81781995104515	-85.61271942286614	-80.26868750825362
-3.878	-83.80630915665125	-78.46186336515932	-85.24376283698031	-79.91273092236779
-3.865	-83.43735257076541	-78.10590677927348	-84.87480625109447	-79.55677433648196
-3.852	-83.06839598487959	-77.74995019338763	-84.50584966520863	-79.20081775059612
-3.839	-82.69943939899373	-77.39399360750176	-84.13689307932277	-78.84486116471027
-3.826	-82.33048281310788	-77.03803702161593	-83.76793649343692	-78.48890457882439
-3.813	-81.96152622722204	-76.6820804357301	-83.39897990755108	-78.1329479929386
-3.8	-81.5925696413362	-76.32612384984427	-83.03002332166525	-77.77699140705273
-3.787	-81.22361305545037	-75.97016726395843	-82.66106673577943	-77.42103482116687
-3.774	-80.85465646956452	-75.61421067807255	-82.29211014989357	-77.06507823528105
-3.761	-80.48569988367868	-75.25825409218673	-81.92315356400772	-76.7091216493952
-3.748	-80.11674329779282	-74.90229750630088	-81.55419697812187	-76.35316506350937
-3.735	-79.747786711907	-74.54634092041503	-81.18524039223605	-75.99720847762353
-3.722	-79.37883012602113	-74.19038433452918	-80.81628380635019	-75.64125189173767
-3.709	-79.0098735401353	-73.83442774864336	-80.44732722046436	-75.28529530585182
-3.696	-78.64091695424946	-73.47847116275754	-80.0783706345785	-74.929338719966
-3.683	-78.27196036836364	-73.1225145768717	-79.70941404869271	-74.5733821340802
-3.67	-77.90300378247778	-72.76655799098582	-79.34045746280684	-74.21742554819431
-3.657	-77.53404719659194	-72.4106014051	-78.971500876921	-73.86146896230846
-3.644	-77.1650906107061	-72.05464481921415	-78.60254429103513	-73.50551237642264
-3.631	-76.79613402482025	-71.69868823332831	-78.23358770514932	-73.1495557905368
-3.618	-76.42717743893441	-71.34273164744246	-77.86463111926345	-72.79359920465093
-3.605	-76.05822085304855	-70.9867750615566	-77.49567453337761	-72.43764261876511
-3.592	-75.68926426716271	-70.6308184756708	-77.1267179474918	-72.08168603287926
-3.579	-75.3203076812769	-70.27486188978497	-76.75776136160594	-71.72572944699343
-3.566	-74.95135109539106	-69.9189053038991	-76.38880477572012	-71.36977286110759
-3.553	-74.58239450950519	-69.56294871801323	-76.01984818983425	-71.01381627522173
-3.54	-74.21343792361935	-69.20699213212741	-75.65089160394841	-70.65785968933591
-3.527	-73.84448133773353	-68.85103554624158	-75.28193501806257	-70.30190310345006
-3.514	-73.47552475184769	-68.49507896035573	-74.91297843217673	-69.94594651756421
-3.501	-73.10656816596182	-68.13912237446986	-74.54402184629087	-69.58998993167836
-3.488	-72.73761158007598	-67.78316578858406	-74.17506526040503	-69.23403334579253
-3.475	-72.36865499419015	-67.42720920269822	-73.80610867451921	-68.87807675990668
-3.462	-71.99969840830433	-67.07125261681234	-73.43715208863337	-68.52212017402084
-3.449	-71.63074182241846	-66.7152960309265	-73.06819550274751	-68.166163588135
-3.436	-71.26178523653262	-66.35933944504066	-72.69923891686167	-67.81020700224917
-3.423	-70.89282865064676	-66.00338285915484	-72.33028233097583	-67.45425041636331
-3.41	-70.52387206476094	-65.647426273269	-71.96132574509	-67.09829383047749
-3.397	-70.1549154788751	-65.29146968738316	-71.59236915920417	-66.74233724459162
-3.384	-69.78595889298926	-64.93551310149729	-71.22341257331831	-66.38638065870579
-3.371	-69.4170023071034	-64.57955651561146	-70.85445598743246	-66.03042407281994
-3.358	-69.04804572121758	-64.22359992972562	-70.48549940154662	-65.67446748693409
-3.345	-68.67908913533171	-63.86764334383977	-70.11654281566076	-65.31851090104826
-3.332	-68.31013254944588	-63.51168675795393	-69.74758622977494	-64.96255431516244
-3.319	-67.94117596356004	-63.1557301720681	-69.37862964388911	-64.60659772927659
-3.306	-67.5722193776742	-62.79977358618225	-69.00967305800324	-64.25064114339072
-3.293	-67.20326279178836	-62.44381700029642	-68.64071647211742	-63.8946845575049
-3.28	-66.83430620590251	-62.08786041441057	-68.27175988623158	-63.53872797161906
-3.267	-66.46534962001668	-61.731903828524736	-67.90280330034574	-63.18277138573321
-3.254	-66.09639303413084	-61.37594724263889	-67.5338467144599	-62.82681479984736
-3.241	-65.727436448245	-61.01999065675303	-67.16489012857404	-62.47085821396152
-3.228	-65.35847986235915	-60.664034070867196	-66.79593354268819	-62.114901628075685
-3.215	-64.9895232764733	-60.308077484981375	-66.42697695680238	-61.758945042189865
-3.202	-64.62056669058747	-59.95212089909552	-66.05802037091652	-61.402988456304
-3.189	-64.25161010470163	-59.59616431320967	-65.68906378503068	-61.04703187041816
-3.176	-63.88265351881577	-59.240207727323835	-65.32010719914483	-60.69107528453231
-3.163	-63.51369693292994	-58.884251141438	-64.951150613259	-60.33511869864649
-3.15	-63.1447403470441	-58.528294555552144	-64.58219402737315	-59.97916211276063
-3.137	-62.77578376115825	-58.172337969666295	-64.21323744148731	-59.623205526874784
-3.124	-62.4068271752724	-57.81638138378046	-63.84428085560146	-59.267248940988935
-3.111	-62.03787058938658	-57.460424797894625	-63.47532426971562	-58.911292355103114
-3.098	-61.668914003500724	-57.10446821200877	-63.10636768382979	-58.555335769217265
-3.085	-61.299957417614884	-56.748511626122934	-62.737411097943934	-58.19937918333142
-3.072	-60.93100083172903	-56.3925550402371	-62.36845451205809	-57.84342259744556
-3.059	-60.56204424584321	-56.03659845435126	-61.99949792617225	-57.487466011559754
-3.046	-60.19308765995736	-55.68064186846539	-61.63054134028642	-57.1315094256739
-3.033	-59.82413107407151	-55.324685282579566	-61.261584754400566	-56.77555283978805
-3.02	-59.45517448818567	-54.968728696693724	-60.89262816851473	-56.4195962539022
-3.007	-59.08621790229982	-54.612772110807875	-60.52367158262888	-56.06363966801636
-2.994	-58.71726131641398	-54.25681552492203	-60.15471499674304	-55.70768308213052
-2.981	-58.34830473052814	-53.9008589390362	-59.785758410857206	-55.35172649624469
-2.968	-57.979348144642294	-53.544902353150356	-59.416801824971365	-54.99576991035883
-2.955	-57.61039155875647	-53.188945767264514	-59.04784523908551	-54.63981332447299
-2.942	-57.24143497287062	-52.83298918137868	-58.67888865319968	-54.28385673858717
-2.929	-56.872478386984795	-52.477032595492844	-58.309932067313845	-53.92790015270135
-2.916	-56.50352180109895	-52.12107600960699	-57.940975481428005	-53.57194356681548
-2.903	-56.134565215213094	-51.76511942372114	-57.57201889554215	-53.21598698092962
-2.89	-55.765608629327254	-51.409162837835304	-57.2030623096563	-52.8600303950438
-2.877	-55.39665204344141	-51.05320625194946	-56.83410572377046	-52.50407380915795
-2.864	-55.02769545755557	-50.69724966606362	-56.46514913788463	-52.1481172232721
-2.851	-54.658738871669726	-50.34129308017777	-56.096192551998776	-51.792160637386246
-2.838	-54.28978228578388	-49.98533649429193	-55.72723596611292	-51.436204051500404
-2.825	-53.92082569989803	-49.62937990840609	-55.35827938022709	-51.08024746561458
-2.812	-53.5518691140122	-49.27342332252026	-54.98932279434127	-50.724290879728755
-2.799	-53.18291252812635	-48.9174667366344	-54.620366208455415	-50.368334293842885
-2.786	-52.81395594224051	-48.56151015074856	-54.25140962256956	-50.01237770795704
-2.773	-52.444999356354664	-48.20555356486272	-53.882453036683714	-49.65642112207121
-2.76	-52.07604277046883	-47.84959697897689	-53.513496450797895	-49.30046453618539
-2.747	-51.70708618458299	-47.493640393091034	-53.14453986491204	-48.94450795029952
-2.734	-51.338129598697144	-47.137683807205185	-52.77558327902619	-48.588551364413675
-2.721	-50.96917301281129	-46.78172722131935	-52.40662669314035	-48.23259477852783
-2.708	-50.600216426925456	-46.42577063543352	-52.03767010725451	-47.876638192642005
-2.695	-50.231259841039616	-46.06981404954766	-51.66871352136867	-47.52068160675616
-2.682	-49.862303255153776	-45.713857463661824	-51.29975693548283	-47.16472502087031
-2.669	-49.49334666926793	-45.35790087777599	-50.930800349596986	-46.808768434984465
-2.656	-49.124390083382096	-45.00194429189015	-50.561843763711146	-46.45281184909864
-2.643	-48.75543349749625	-44.6459877060043	-50.19288717782532	-46.09685526321281
-2.63	-48.3864769116104	-44.290031120118456	-49.823930591939465	-45.74089867732694
-2.617	-48.01752032572457	-43.93407453423262	-49.45497400605361	-45.3849420914411
-2.604	-47.648563739838714	-43.578117948346765	-49.08601742016778	-45.02898550555526
-2.591	-47.27960715395288	-43.22216136246092	-48.71706083428194	-44.67302891966942
-2.578	-46.910650568067034	-42.86620477657508	-48.34810424839608	-44.31707233378357
-2.565	-46.54169398218119	-42.51024819068924	-47.97914766251025	-43.96111574789773
-2.552	-46.17273739629535	-42.154291604803404	-47.6101910766244	-43.60515916201189
-2.539	-45.803780810409506	-41.79833501891756	-47.24123449073857	-43.24920257612606
-2.526	-45.434824224523666	-41.44237843303173	-46.87227790485274	-42.89324599024023
-2.513	-45.06586763863783	-41.08642184714588	-46.50332131896689	-42.53728940435437
-2.5	-44.69691105275198	-40.73046526126002	-46.134364733081036	-42.18133281846852
-2.487	-44.32795446686614	-40.37450867537419	-45.765408147195195	-41.82537623258268
-2.474	-43.95899788098029	-40.01855208948835	-45.39645156130935	-41.469419646696835
-2.461	-43.59004129509446	-39.66259550360251	-45.02749497542352	-41.113463060811
-2.448	-43.22108470920861	-39.30663891771666	-44.65853838953766	-40.757506474925144
-2.435	-42.85212812332277	-38.95068233183082	-44.28958180365183	-40.40154988903932
-2.422	-42.483171537436924	-38.594725745944984	-43.92062521776599	-40.04559330315347
-2.409	-42.11421495155109	-38.23876916005914	-43.551668631880155	-39.68963671726763
-2.396	-41.74525836566524	-37.882812574173286	-43.18271204599429	-39.333680131381776
-2.383	-41.376301779779396	-37.52685598828745	-42.81375546010846	-38.97772354549594
-2.37	-41.007345193893556	-37.170899402401616	-42.44479887422262	-38.62176695961009
-2.357	-40.638388608007716	-36.81494281651577	-42.07584228833677	-38.26581037372426
-2.344	-40.26943202212187	-36.45898623062992	-41.70688570245092	-37.9098537878384
-2.331	-39.90047543623603	-36.10302964474408	-41.337929116565086	-37.553897201952566
-2.318	-39.53151885035019	-35.74707305885824	-40.968972530679245	-37.19794061606673
-2.305	-39.16256226446435	-35.391116472972406	-40.600015944793405	-36.841984030180896
-2.292	-38.79360567857851	-35.03515988708656	-40.23105935890757	-36.48602744429507
-2.279	-38.424649092692675	-34.67920330120072	-39.86210277302174	-36.130070858409226
-2.266	-38.05569250680683	-34.32324671531488	-39.49314618713589	-35.77411427252336
-2.253	-37.68673592092098	-33.967290129429024	-39.12418960125004	-35.418157686637514
-2.24	-37.31777933503514	-33.61133354354319	-38.7552330153642	-35.062201100751686
-2.227	-36.948822749149286	-33.25537695765735	-38.38627642947836	-34.70624451486584
-2.214	-36.57986616326346	-32.89942037177151	-38.017319843592524	-34.35028792898001
-2.201	-36.210909577377606	-32.543463785885656	-37.64836325770667	-33.994331343094146
-2.188	-35.841952991491766	-32.18750719999982	-37.27940667182083	-33.63837475720832
-2.175	-35.47299640560592	-31.83155061411398	-36.91045008593498	-33.28241817132247
-2.162	-35.104039819720086	-31.475594028228137	-36.54149350004916	-32.926461585436634
-2.149	-34.73508323383424	-31.119637442342285	-36.1725369141633	-32.57050499955078
-2.136	-34.3661266479484	-30.763680856456446	-35.803580328277455	-32.214548413664936
-2.123	-33.997170062062544	-30.40772427057061	-35.4346237423916	-31.858591827779094
-2.11	-33.628213476176725	-30.05176768468477	-35.06566715650578	-31.502635241893277
-2.097	-33.259256890290864	-29.695811098798917	-34.69671057061993	-31.14667865600741
-2.084	-32.89030030440503	-29.33985451291307	-34.32775398473409	-30.79072207012157
-2.071	-32.52134371851918	-28.983897927027236	-33.95879739884823	-30.434765484235726
-2.058	-32.15238713263335	-28.6279413411414	-33.589840812962414	-30.078808898349898
-2.045	-31.783430546747503	-28.27198475525555	-33.22088422707656	-29.722852312464045
-2.032	-31.41447396086166	-27.916028169369717	-32.85192764119072	-29.366895726578196
-2.019	-31.045517374975816	-27.56007158348387	-32.48297105530488	-29.01093914069236
-2.006	-30.67656078908998	-27.20411499759803	-32.11401446941904	-28.654982554806523
-1.993	-30.307604203204132	-26.84815841171218	-31.745057883533192	-28.29902596892067
-1.98	-29.93864761731829	-26.492201825826346	-31.37610129764735	-27.943069383034835
-1.967	-29.569691031432452	-26.136245239940507	-31.007144711761512	-27.587112797148997
-1.954	-29.20073444554661	-25.780288654054658	-30.63818812587567	-27.231156211263148
-1.941	-28.831777859660765	-25.42433206816881	-30.26923153998982	-26.87519962537731
-1.928	-28.462821273774917	-25.068375482282974	-29.900274954103985	-26.519243039491464
-1.915	-28.093864687889088	-24.71241889639714	-29.531318368218148	-26.16328645360563
-1.902	-27.72490810200324	-24.356462310511287	-29.162361782332304	-25.80732986771978
-1.889	-27.35595151611739	-24.000505724625448	-28.793405196446454	-25.451373281833938
-1.876	-26.986994930231553	-23.644549138739613	-28.424448610560617	-25.0954166959481
-1.863	-26.618038344345717	-23.288592552853768	-28.055492024674777	-24.73946011006225
-1.85	-26.249081758459873	-22.932635966967926	-27.68653543878893	-24.38350352417641
-1.837	-25.88012517257403	-22.576679381082077	-27.317578852903086	-24.02754693829057
-1.824	-25.511168586688182	-22.220722795196238	-26.948622267017246	-23.67159035240473
-1.811	-25.14221200080235	-21.864766209310403	-26.579665681131413	-23.3156337665189
-1.798	-24.773255414916505	-21.50880962342455	-26.210709095245562	-22.95967718063305
-1.785	-24.404298829030658	-21.152853037538705	-25.841752509359726	-22.6037205947472
-1.772	-24.03534224314481	-20.79689645165287	-25.472795923473875	-22.24776400886136
-1.759	-23.666385657258978	-20.44093986576703	-25.103839337588045	-21.891807422975532
-1.746	-23.297429071373134	-20.084983279881182	-24.734882751702195	-21.535850837089676
-1.733	-22.928472485487287	-19.72902669399534	-24.36592616581635	-21.17989425120383
-1.72	-22.559515899601443	-19.3730701081095	-23.996969579930504	-20.823937665317985
-1.707	-22.190559313715603	-19.017113522223656	-23.628012994044667	-20.467981079432153
-1.694	-21.821602727829767	-18.661156936337814	-23.25905640815883	-20.11202449354631
-1.681	-21.452646141943923	-18.305200350451972	-22.89009982227299	-19.75606790766047
-1.668	-21.08368955605808	-17.949243764566134	-22.521143236387147	-19.400111321774627
-1.655	-20.71473297017224	-17.59328717868029	-22.152186650501303	-19.04415473588879
-1.642	-20.345776384286395	-17.237330592794443	-21.78323006461546	-18.68819815000294
-1.629	-19.976819798400548	-16.8813740069086	-21.414273478729612	-18.33224156411709
-1.616	-19.607863212514708	-16.525417421022766	-21.04531689284377	-17.976284978231252
-1.603	-19.238906626628868	-16.169460835136917	-20.676360306957932	-17.620328392345414
-1.59	-18.869950040743024	-15.813504249251071	-20.307403721072085	-17.264371806459568
-1.577	-18.500993454857177	-15.457547663365231	-19.93844713518624	-16.90841522057372
-1.564	-18.132036868971337	-15.101591077479391	-19.569490549300397	-16.552458634687884
-1.551	-17.763080283085497	-14.745634491593554	-19.200533963414564	-16.19650204880205
-1.538	-17.39412369719966	-14.389677905707716	-18.83157737752872	-15.840545462916207
-1.525	-17.02516711131382	-14.03372131982187	-18.462620791642884	-15.48458887703037
-1.512	-16.656210525427973	-13.677764733936026	-18.093664205757037	-15.128632291144514
-1.499	-16.287253939542136	-13.321808148050183	-17.724707619871197	-14.77267570525868
-1.486	-15.918297353656287	-12.965851562164339	-17.355751033985353	-14.416719119372834
-1.473	-15.54934076777045	-12.609894976278499	-16.98679444809951	-14.060762533486995
-1.46	-15.180384181884603	-12.253938390392657	-16.61783786221367	-13.70480594760115
-1.447	-14.811427595998765	-11.897981804506815	-16.24888127632783	-13.348849361715311
-1.434	-14.442471010112918	-11.54202521862097	-15.879924690441985	-12.992892775829466
-1.421	-14.07351442422708	-11.186068632735129	-15.510968104556143	-12.636936189943626
-1.408	-13.704557838341234	-10.830112046849285	-15.1420115186703	-12.28097960405778
-1.395	-13.335601252455394	-10.474155460963448	-14.773054932784458	-11.925023018171943
-1.382	-12.966644666569554	-10.118198875077606	-14.404098346898621	-11.569066432286105
-1.369	-12.597688080683708	-9.762242289191756	-14.035141761012774	-11.21310984640025
-1.356	-12.228731494797861	-9.406285703305914	-13.666185175126925	-10.85715326051441
-1.343	-11.859774908912023	-9.050329117420073	-13.297228589241088	-10.50119667462857
-1.33	-11.490818323026177	-8.694372531534231	-12.928272003355241	-10.145240088742726
-1.317	-11.121861737140337	-8.33841594564839	-12.559315417469405	-9.78936952153475
-1.304	-10.752905151254492	-7.982010333418488	-12.190358831583557	-9.432164160340161
-1.291	-10.383420548573575	-7.638158469439617	-11.820963824079824	-9.07742597814752
-1.278	-10.029131221697277	-7.319833445425197	-11.455750018258728	-8.735508065529144
-1.265	-9.69276192885732	-7.020532531897487	-11.10211349349636	-8.411313235756182
-1.252	-9.373570845732699	-6.738143456969601	-10.762920453893077	-8.104269069548343
-1.239	-9.070663456978984	-6.471766343779066	-10.438875474790459	-7.813475135749054
-1.226	-8.783113716272902	-6.2204195974931755	-10.129773861594046	-7.5380013727913004
-1.213	-8.510012904755094	-5.983171112848045	-9.83504456307913	-7.2769381549992405
-1.2	-8.250488708849568	-5.759138041106552	-9.553980691436559	-7.029415388337202
-1.187	-8.003712169229255	-5.547485591705895	-9.285839607480805	-6.794599871308272
-1.174	-7.768899365825363	-5.347424763111075	-9.029886346778024	-6.57172244540066
-1.161	-7.545310453015406	-5.1582103347226615	-8.785410079033987	-6.360011860549407
-1.148	-7.332248585570119	-4.979139415834431	-8.551734829143989	-6.158814303288932
-1.135	-7.1290576549381	-4.8095484354485345	-8.328220059327656	-5.9674296760187895
-1.122	-6.935120198742777	-4.648811698589641	-8.114260853641774	-5.785275724448724
-1.109	-6.749855463331408	-4.496339471197058	-7.909287721336352	-5.611761160217752
-1.096	-6.572717203844598	-4.351575805663459	-7.712764227146722	-5.4463398390505695
-1.083	-6.403191816033569	-4.213997516186505	-7.524185734346465	-5.28850160121919
-1.07	-6.240796744224192	-4.083112137678183	-7.343078763953143	-5.137763225339314
-1.057	-6.085078164480991	-3.958455863948397	-7.168996783628233	-4.9936734549892074
-1.044	-5.935609986000903	-3.8395936486375093	-7.001521395099785	-4.855807548655365
-1.031	-5.7919918058207935	-3.7261160380549243	-6.840258695876753	-4.7237771443854735
-1.018	-5.653847734469027	-3.6176393537191167	-6.684838993688413	-4.5971779699758875
-1.005	-5.520824882586781	-3.513803528101727	-6.534914881398707	-4.475699410576996
-0.992	-5.392592076066567	-3.414271350474808	-6.390160001690456	-4.358982579235636
-0.979	-5.268838632364377	-3.318727283453447	-6.250267829776931	-4.246729177050491
-0.966	-5.1492731907507245	-3.2268763779209153	-6.114950475950087	-4.138650319297723
-0.953	-5.033622616984602	-3.1384431723571944	-5.983937590636771	-4.0344753101574815
-0.94	-4.921630895937334	-3.053170694761567	-5.856975123800105	-3.933950324316093
-0.927	-4.813058246014831	-2.9708198796539875	-5.733824643814299	-3.836838802054167
-0.914	-4.707680153234194	-2.8911679495892417	-5.614262298452358	-3.74291851127585
-0.901	-4.605286310577179	-2.814007786528612	-5.4980774756921615	-3.651980914597925
-0.888	-4.505680115315665	-2.7391479637238	-5.3850728928594584	-3.5638336989993884
-0.875	-4.408677583439877	-2.6664099390316616	-5.275063038163684	-3.478294006717435
-0.862	-4.314106591274451	-2.595628808304895	-5.167873474100927	-3.3951920214413294
-0.849	-4.22180640405313	-2.5266524793407816	-5.063340753468	-3.314370563717309
-0.836	-4.13162668417107	-2.459339793749121	-4.96131102479273	-3.2356808014084
-0.823	-4.043427203832595	-2.3935609678602536	-4.861640263477711	-3.158985870579997
-0.81	-3.9570766424852577	-2.3291948302556515	-4.764192385138852	-3.0841540001677843
-0.797	-3.872452644856103	-2.2661317335961737	-4.668840152114307	-3.011067574239165
-0.784	-3.7894408370709423	-2.2042688357548585	-4.575463723676963	-2.9396125844667225
-0.771	-3.7079344218912142	-2.1435120907154706	-4.483950465389036	-2.869684431679267
-0.758	-3.6278337141899626	-2.083774705569536	-4.39419458101653	-2.8011853856482865
-0.745	-3.549045549787678	-2.0249761540754796	-4.306096472892946	-2.7340233044028484
-0.732	-3.471482863783795	-1.9670423134114974	-4.219562427818855	-2.6681126959631976
-0.719	-3.3950642889979643	-1.9099045743229424	-4.134504313537009	-2.60337370093413
-0.706	-3.3197136450612192	-1.8534989804156992	-4.050839057076958	-2.53973098462538
-0.693	-3.2453595977265675	-1.7977662698119938	-3.9684884303270085	-2.4771145510433628
-0.68	-3.171935223642069	-1.7426508240467946	-3.8873786497468235	-2.41545830340133
-0.667	-3.09937763072921	-1.6881004791037593	-3.8074400728725974	-2.354700276682501
-0.654	-3.0276276125863277	-1.6340659845977836	-3.7286069481587036	-2.2947822437464094
-0.641	-2.9566292459533	-1.5805001848359048	-3.6508170668426922	-2.2356488148113685
-0.628	-2.886329507515936	-1.5273578967531487	-3.574011455906544	-2.177247680504966
-0.615	-2.816678018659521	-1.474595502107422	-3.4981342862849094	-2.119529628981606
-0.602	-2.7476265324141247	-1.4221695491955604	-3.4231323717720885	-2.0624465857068817
-0.589	-2.6791286679169173	-1.370037336610321	-3.3489550909333348	-2.0059533490189057
-0.576	-2.6111394714238196	-1.3181553411842892	-3.275554051879107	-1.9500056063679199
-0.563	-2.543614983091464	-1.2664789547509872	-3.2028828029641923	-1.894560231222512
-0.55	-2.4765118506532993	-1.2149618573170218	-3.130896655637724	-1.8395751605476545
-0.537	-2.409786786433747	-1.1635547989829242	-3.059552317965889	-1.7850082860467058
-0.524	-2.3433961145144004	-1.1122049043307445	-2.988807728249445	-1.7308176158194295
-0.511	-2.277295004239367	-1.060853887267792	-2.91862149888351	-1.6769594741695442
-0.498	-2.211436980762383	-1.009438170361606	-2.8489528660484833	-1.623390318814466
-0.485	-2.1457730100955805	-0.9578856799904454	-2.779761123774957	-1.5700633064564724
-0.472	-2.0802506138119554	-0.906115199328915	-2.711005241825026	-1.5169292236472833
-0.459	-2.014812840486467	-0.8540340868977203	-2.6426434351401	-1.4639351703699301
-0.446	-1.9493969740801407	-0.8015356177692329	-2.5746325445976947	-1.4110229190693706
-0.433	-1.8839330785301702	-0.7484967591164724	-2.5069274025525634	-1.3581282094335758
-0.42	-1.8183423154444067	-0.6947751814920337	-2.439480120985296	-1.3051791420274936
-0.407	-1.7525349016701632	-0.640205836873468	-2.372239141345548	-1.2520939352171803
-0.394	-1.686407817075045	-0.5845980243588458	-2.3051482156069127	-1.1987793595707148
-0.381	-1.6198421356188553	-0.5277319713269712	-2.238145134111241	-1.1451279232662193
-0.368	-1.5527000395192785	-0.46935621449354153	-2.1711602403305603	-1.0910152781550253
-0.355	-1.4848215541663747	-0.4091857936428326	-2.1041146804197655	-1.03629709471933
