#  Log[10,T [fm^-1]]	Log[10,E [fm^-4]]	Log[10,dE [fm^-4]]	Log[10,P [fm^-4]]	Log[10,dP [fm^-4]]
1001
-7.856	-196.70702443771899	-187.38457864622703	-198.144478118048	-188.8354462034355
-7.843	-196.33806785183313	-187.02862206034115	-197.77552153216214	-188.4794896175496
-7.83	-195.96911126594728	-186.67266547445536	-197.4065649462763	-188.12353303166375
-7.817	-195.60015468006145	-186.31670888856948	-197.03760836039046	-187.76757644577796
-7.804	-195.23119809417557	-185.96075230268366	-196.6686517745046	-187.41161985989208
-7.791	-194.86224150828977	-185.60479571679784	-196.2996951886188	-187.05566327400632
-7.778	-194.49328492240392	-185.24883913091196	-195.930738602733	-186.69970668812044
-7.765	-194.1243283365181	-184.8928825450261	-195.5617820168471	-186.3437501022346
-7.752	-193.75537175063224	-184.53692595914026	-195.19282543096125	-185.98779351634875
-7.739	-193.3864151647464	-184.18096937325444	-194.82386884507545	-185.63183693046295
-7.726	-193.01745857886058	-183.8250127873686	-194.45491225918963	-185.27588034457705
-7.713	-192.6485019929747	-183.46905620148277	-194.0859556733037	-184.9199237586912
-7.7	-192.27954540708888	-183.11309961559695	-193.71699908741792	-184.56396717280538
-7.687	-191.91058882120302	-182.75714302971107	-193.34804250153203	-184.2080105869195
-7.674	-191.5416322353172	-182.40118644382522	-192.9790859156462	-183.85205400103374
-7.661	-191.17267564943128	-182.04522985793938	-192.61012932976035	-183.49609741514783
-7.648	-190.8037190635455	-181.68927327205358	-192.24117274387453	-183.14014082926204
-7.635	-190.4347624776597	-181.3333166861677	-191.87221615798876	-182.78418424337625
-7.622	-190.0658058917738	-180.97736010028186	-191.50325957210288	-182.42822765749034
-7.609	-189.69684930588798	-180.621403514396	-191.13430298621702	-182.0722710716045
-7.596	-189.32789272000213	-180.2654469285102	-190.76534640033114	-181.7163144857186
-7.583	-188.9589361341163	-179.90949034262437	-190.39638981444534	-181.36035789983282
-7.57	-188.58997954823045	-179.55353375673846	-190.0274332285595	-181.00440131394691
-7.557	-188.2210229623446	-179.19757717085267	-189.6584766426736	-180.64844472806115
-7.544	-187.85206637645877	-178.84162058496682	-189.28952005678786	-180.29248814217542
-7.531	-187.4831097905729	-178.48566399908097	-188.92056347090195	-179.93653155628945
-7.518	-187.1141532046871	-178.12970741319515	-188.55160688501616	-179.58057497040363
-7.505	-186.74519661880123	-177.77375082730927	-188.18265029913024	-179.22461838451775
-7.492	-186.37624003291538	-177.41779424142342	-187.81369371324445	-178.86866179863193
-7.479	-186.00728344702952	-177.0618376555376	-187.44473712735854	-178.51270521274603
-7.466	-185.63832686114372	-176.70588106965178	-187.07578054147274	-178.15674862686026
-7.453	-185.26937027525787	-176.3499244837659	-186.70682395558688	-177.80079204097433
-7.44	-184.90041368937204	-175.99396789788008	-186.33786736970103	-177.44483545508857
-7.427	-184.5314571034862	-175.63801131199423	-185.96891078381526	-177.0888788692028
-7.414	-184.1625005176003	-175.28205472610838	-185.59995419792938	-176.73292228331687
-7.401	-183.79354393171448	-174.92609814022254	-185.23099761204355	-176.37696569743096
-7.388	-183.42458734582863	-174.5701415543367	-184.86204102615764	-176.0210091115451
-7.375	-183.05563075994283	-174.21418496845087	-184.49308444027184	-175.66505252565932
-7.362	-182.68667417405698	-173.85822838256502	-184.12412785438596	-175.30909593977344
-7.349	-182.31771758817115	-173.5022717966792	-183.75517126850016	-174.95313935388765
-7.336	-181.9487610022853	-173.14631521079335	-183.38621468261434	-174.59718276800177
-7.323	-181.57980441639944	-172.7903586249075	-183.01725809672843	-174.24122618211595
-7.31	-181.21084783051361	-172.43440203902165	-182.64830151084269	-173.88526959623022
-7.297	-180.84189124462776	-172.0784454531358	-182.2793449249568	-173.52931301034428
-7.284	-180.4729346587419	-171.72248886724995	-181.91038833907095	-173.17335642445843
-7.271	-180.10397807285602	-171.36653228136413	-181.54143175318507	-172.81739983857256
-7.258	-179.73502148697023	-171.0105756954783	-181.17247516729927	-172.46144325268676
-7.245	-179.36606490108437	-170.65461910959243	-180.8035185814134	-172.10548666680086
-7.232	-178.99710831519855	-170.2986625237066	-180.43456199552753	-171.74953008091506
-7.219	-178.62815172931272	-169.94270593782076	-180.06560540964176	-171.39357349502924
-7.206	-178.25919514342687	-169.5867493519349	-179.69664882375588	-171.0376169091434
-7.193	-177.89023855754107	-169.2307927660491	-179.3276922378701	-170.6816603232576
-7.18	-177.52128197165518	-168.87483618016321	-178.95873565198423	-170.3257037373717
-7.167	-177.15232538576933	-168.51887959427737	-178.58977906609837	-169.96974715148582
-7.154	-176.78336879988348	-168.16292300839154	-178.2208224802125	-169.6137905656
-7.141	-176.41441221399765	-167.80696642250572	-177.8518658943267	-169.25783397971418
-7.128	-176.04545562811182	-167.45100983661987	-177.48290930844084	-168.90187739382833
-7.115	-175.67649904222597	-167.09505325073403	-177.11395272255498	-168.54592080794248
-7.102	-175.30754245634014	-166.73909666484818	-176.7449961366692	-168.18996422205666
-7.089	-174.93858587045426	-166.38314007896236	-176.3760395507833	-167.8340076361708
-7.076	-174.56962928456846	-166.0271834930765	-176.00708296489753	-167.47805105028502
-7.063	-174.20067269868258	-165.67122690719063	-175.6381263790116	-167.12209446439908
-7.05	-173.83171611279678	-165.31527032130487	-175.2691697931258	-166.7661378785133
-7.037	-173.46275952691093	-164.95931373541896	-174.90021320723997	-166.4101812926275
-7.024	-173.09380294102507	-164.6033571495331	-174.53125662135412	-166.0542247067416
-7.011	-172.72484635513922	-164.24740056364726	-174.16230003546826	-165.69826812085574
-6.998	-172.35588976925337	-163.8914439777614	-173.79334344958238	-165.3423115349699
-6.985	-171.98693318336754	-163.53548739187556	-173.42438686369658	-164.98635494908405
-6.972	-171.6179765974817	-163.17953080598974	-173.0554302778107	-164.6303983631982
